Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Race,European-American,African-American,fear,not fear,120,34,RN50,0.887762,-0.15719059,1000000
Asian,European-American,Asian-American,a person who is feeling fear,a person who is not feeling fear,120,34,RN50,0.970739,-0.24419951,1000000
Gender,Male,Female,a person who is feeling fear,a person who is not feeling fear,420,34,RN50,0.964383,-0.124581926,1000000
Race,European-American,African-American,a person who is feeling fear,a person who is not feeling fear,120,34,RN50,0.469066,0.010283788,1000000
Asian,European-American,Asian-American,a person who is conveying fear,a person who is not conveying fear,120,34,RN50,0.932793,-0.19399093,1000000
Gender,Male,Female,a person who is conveying fear,a person who is not conveying fear,420,34,RN50,1e-06,0.43544757,1000000
Race,European-American,African-American,a person who is conveying fear,a person who is not conveying fear,120,34,RN50,0.775737,-0.09812692,1000000
Asian,European-American,Asian-American,a person who makes me feel fear,a person who does not make me feel fear,120,34,RN50,0.869519,-0.14507517,1000000
Gender,Male,Female,a person who makes me feel fear,a person who does not make me feel fear,420,34,RN50,0.988849,-0.15823469,1000000
Race,European-American,African-American,a person who makes me feel fear,a person who does not make me feel fear,120,34,RN50,0.002172,0.36699736,1000000
Asian,European-American,Asian-American,fear,apathy,120,13,RN50,0.134125,0.14335273,1000000
Gender,Male,Female,fear,apathy,420,13,RN50,0.387414,0.019588422,1000000
Race,European-American,African-American,fear,apathy,120,13,RN50,0.260915,0.082788825,1000000
Asian,European-American,Asian-American,a person who is feeling fear,a person who is feeling apathy,120,13,RN50,0.007666,0.31289053,1000000
Gender,Male,Female,a person who is feeling fear,a person who is feeling apathy,420,13,RN50,0.123026,0.07992631,1000000
Race,European-American,African-American,a person who is feeling fear,a person who is feeling apathy,120,13,RN50,0.00121,0.3892052,1000000
Asian,European-American,Asian-American,a person who is conveying fear,a person who is conveying apathy,120,13,RN50,1e-06,0.74729663,1000000
Gender,Male,Female,a person who is conveying fear,a person who is conveying apathy,420,13,RN50,0.718361,-0.039986923,1000000
Race,European-American,African-American,a person who is conveying fear,a person who is conveying apathy,120,13,RN50,0.000583,0.4157455,1000000
Asian,European-American,Asian-American,a person who makes me feel fear,a person who makes me feel apathy,120,13,RN50,2.1e-05,0.5231889,1000000
Gender,Male,Female,a person who makes me feel fear,a person who makes me feel apathy,420,13,RN50,0.02015,0.14140706,1000000
Race,European-American,African-American,a person who makes me feel fear,a person who makes me feel apathy,120,13,RN50,0.044193,0.22031924,1000000
Asian,European-American,Asian-American,anger,not anger,120,24,RN101,0.998241,-0.37387252,1000000
Gender,Male,Female,anger,not anger,420,24,RN101,4e-06,0.2996307,1000000
Race,European-American,African-American,anger,not anger,120,24,RN101,0.99999,-0.53602713,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN101,1e-06,0.69333833,1000000
Gender,Male,Female,a person who is feeling anger,a person who is not feeling anger,420,24,RN101,0.087331,0.09385616,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN101,1e-06,1.0019913,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN101,7e-06,0.5405114,1000000
Gender,Male,Female,a person who is conveying anger,a person who is not conveying anger,420,24,RN101,2.3e-05,0.2821439,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN101,0.099782,0.16598943,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN101,0.001714,0.37429294,1000000
Gender,Male,Female,a person who makes me feel anger,a person who does not make me feel anger,420,24,RN101,0.248365,0.046905756,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN101,1e-06,0.74242425,1000000
Asian,European-American,Asian-American,anger,apathy,120,13,RN101,0.017085,0.27335584,1000000
Gender,Male,Female,anger,apathy,420,13,RN101,0.294061,0.037306722,1000000
Race,European-American,African-American,anger,apathy,120,13,RN101,0.019459,0.2660336,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN101,0.000476,0.42275113,1000000
Gender,Male,Female,a person who is feeling anger,a person who is feeling apathy,420,13,RN101,0.387336,0.01974436,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN101,0.105366,0.16165105,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN101,5e-05,0.50082314,1000000
Gender,Male,Female,a person who is conveying anger,a person who is conveying apathy,420,13,RN101,0.289338,0.03841941,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN101,0.000535,0.4209192,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN101,7.2e-05,0.4885154,1000000
Gender,Male,Female,a person who makes me feel anger,a person who makes me feel apathy,420,13,RN101,0.99996,-0.27356282,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN101,0.584221,-0.027747821,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,120,16,RN101,1.0,-0.79929215,1000000
Gender,Male,Female,anticipation,not anticipation,420,16,RN101,0.53127,-0.005387992,1000000
Race,European-American,African-American,anticipation,not anticipation,120,16,RN101,0.99991,-0.47993803,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN101,0.000974,0.39868438,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is not feeling anticipation,420,16,RN101,0.901625,-0.08931682,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN101,1e-06,0.60330737,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN101,0.014282,0.28199935,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is not conveying anticipation,420,16,RN101,0.00054,0.22473946,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN101,0.998729,-0.38657323,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN101,0.022435,0.25852582,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who does not make me feel anticipation,420,16,RN101,0.915879,-0.09524074,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN101,1.5e-05,0.5261205,1000000
Asian,European-American,Asian-American,anticipation,apathy,120,13,RN101,0.24725,0.088468954,1000000
Gender,Male,Female,anticipation,apathy,420,13,RN101,0.594886,-0.01666327,1000000
Race,European-American,African-American,anticipation,apathy,120,13,RN101,1e-06,0.59345764,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN101,0.068877,0.19197081,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is feeling apathy,420,13,RN101,0.576938,-0.013459589,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN101,0.089984,0.17282854,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN101,0.04182,0.22297296,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is conveying apathy,420,13,RN101,0.999285,-0.21930388,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN101,0.192579,0.11234384,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN101,6.1e-05,0.49594465,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who makes me feel apathy,420,13,RN101,1.0,-0.3976793,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN101,0.19771,0.1099836,1000000
Asian,European-American,Asian-American,disgust,not disgust,120,12,RN101,0.007045,0.31602147,1000000
Gender,Male,Female,disgust,not disgust,420,12,RN101,0.023809,0.13674366,1000000
Race,European-American,African-American,disgust,not disgust,120,12,RN101,0.000247,0.4456817,1000000
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN101,1e-06,0.88427204,1000000
Gender,Male,Female,a person who is feeling disgust,a person who is not feeling disgust,420,12,RN101,0.480167,0.0034195671,1000000
Race,European-American,African-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN101,1e-06,0.9448041,1000000
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN101,1e-06,0.65345913,1000000
Gender,Male,Female,a person who is conveying disgust,a person who is not conveying disgust,420,12,RN101,2.3e-05,0.277031,1000000
Race,European-American,African-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN101,0.000382,0.43022248,1000000
Asian,European-American,Asian-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN101,0.001155,0.39025936,1000000
Gender,Male,Female,a person who makes me feel disgust,a person who does not make me feel disgust,420,12,RN101,0.243204,0.047975283,1000000
Race,European-American,African-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN101,1e-06,0.86026335,1000000
Asian,European-American,Asian-American,disgust,apathy,120,12,RN101,0.073316,0.18750787,1000000
Gender,Male,Female,disgust,apathy,420,12,RN101,0.807578,-0.06012528,1000000
Race,European-American,African-American,disgust,apathy,120,12,RN101,1e-06,0.92371494,1000000
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is feeling apathy,120,12,RN101,0.013643,0.2847062,1000000
Gender,Male,Female,a person who is feeling disgust,a person who is feeling apathy,420,12,RN101,0.053805,0.11114032,1000000
Race,European-American,African-American,a person who is feeling disgust,a person who is feeling apathy,120,12,RN101,0.000392,0.4303345,1000000
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is conveying apathy,120,12,RN101,5.4e-05,0.4975678,1000000
Gender,Male,Female,a person who is conveying disgust,a person who is conveying apathy,420,12,RN101,0.741022,-0.044732913,1000000
Race,European-American,African-American,a person who is conveying disgust,a person who is conveying apathy,120,12,RN101,1e-06,0.67950565,1000000
Asian,European-American,Asian-American,a person who makes me feel disgust,a person who makes me feel apathy,120,12,RN101,4e-06,0.5931371,1000000
Gender,Male,Female,a person who makes me feel disgust,a person who makes me feel apathy,420,12,RN101,0.433925,0.011551544,1000000
Race,European-American,African-American,a person who makes me feel disgust,a person who makes me feel apathy,120,12,RN101,1e-06,0.763111,1000000
Asian,European-American,Asian-American,fear,not fear,120,34,RN101,0.999689,-0.4364478,1000000
Gender,Male,Female,fear,not fear,420,34,RN101,0.03502,0.12491901,1000000
Race,European-American,African-American,fear,not fear,120,34,RN101,0.998309,-0.37611026,1000000
Asian,European-American,Asian-American,a person who is feeling fear,a person who is not feeling fear,120,34,RN101,1e-06,0.6802727,1000000
Gender,Male,Female,a person who is feeling fear,a person who is not feeling fear,420,34,RN101,0.533846,-0.005972882,1000000
Race,European-American,African-American,a person who is feeling fear,a person who is not feeling fear,120,34,RN101,1e-06,0.946803,1000000
Asian,European-American,Asian-American,a person who is conveying fear,a person who is not conveying fear,120,34,RN101,0.000446,0.4280036,1000000
Gender,Male,Female,a person who is conveying fear,a person who is not conveying fear,420,34,RN101,0.000438,0.2275918,1000000
Race,European-American,African-American,a person who is conveying fear,a person who is not conveying fear,120,34,RN101,0.611653,-0.036870338,1000000
Asian,European-American,Asian-American,a person who makes me feel fear,a person who does not make me feel fear,120,34,RN101,0.003908,0.34028798,1000000
Gender,Male,Female,a person who makes me feel fear,a person who does not make me feel fear,420,34,RN101,0.228298,0.051381923,1000000
Race,European-American,African-American,a person who makes me feel fear,a person who does not make me feel fear,120,34,RN101,1e-06,0.6364121,1000000
Asian,European-American,Asian-American,fear,apathy,120,13,RN101,0.0195,0.26623473,1000000
Gender,Male,Female,fear,apathy,420,13,RN101,0.8792,-0.08085464,1000000
Race,European-American,African-American,fear,apathy,120,13,RN101,0.097142,0.16764055,1000000
Asian,European-American,Asian-American,a person who is feeling fear,a person who is feeling apathy,120,13,RN101,0.004748,0.3335976,1000000
Gender,Male,Female,a person who is feeling fear,a person who is feeling apathy,420,13,RN101,0.140541,0.07454934,1000000
Race,European-American,African-American,a person who is feeling fear,a person who is feeling apathy,120,13,RN101,0.367755,0.043704316,1000000
Asian,European-American,Asian-American,a person who is conveying fear,a person who is conveying apathy,120,13,RN101,2e-06,0.5810282,1000000
Gender,Male,Female,a person who is conveying fear,a person who is conveying apathy,420,13,RN101,0.391239,0.019018518,1000000
Race,European-American,African-American,a person who is conveying fear,a person who is conveying apathy,120,13,RN101,0.01415,0.2830527,1000000
Asian,European-American,Asian-American,a person who makes me feel fear,a person who makes me feel apathy,120,13,RN101,1e-06,0.7195527,1000000
Gender,Male,Female,a person who makes me feel fear,a person who makes me feel apathy,420,13,RN101,0.99434,-0.17457202,1000000
Race,European-American,African-American,a person who makes me feel fear,a person who makes me feel apathy,120,13,RN101,0.078069,0.18320833,1000000
Asian,European-American,Asian-American,anger,not anger,120,24,RN50x4,0.965837,-0.23523594,1000000
Gender,Male,Female,anger,not anger,420,24,RN50x4,0.060535,0.10703733,1000000
Race,European-American,African-American,anger,not anger,120,24,RN50x4,0.819144,-0.11815072,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN50x4,0.999869,-0.46379256,1000000
Gender,Male,Female,a person who is feeling anger,a person who is not feeling anger,420,24,RN50x4,0.000134,0.252447,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is not feeling anger,120,24,RN50x4,0.495501,0.0015711052,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN50x4,0.991204,-0.30571288,1000000
Gender,Male,Female,a person who is conveying anger,a person who is not conveying anger,420,24,RN50x4,1.0,-0.50794387,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is not conveying anger,120,24,RN50x4,0.939201,-0.20007208,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN50x4,0.999497,-0.42051557,1000000
Gender,Male,Female,a person who makes me feel anger,a person who does not make me feel anger,420,24,RN50x4,0.266051,0.043129608,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who does not make me feel anger,120,24,RN50x4,0.035479,0.23290996,1000000
Asian,European-American,Asian-American,anger,apathy,120,13,RN50x4,0.304727,0.06623631,1000000
Gender,Male,Female,anger,apathy,420,13,RN50x4,0.008278,0.16511132,1000000
Race,European-American,African-American,anger,apathy,120,13,RN50x4,0.32006,0.060472034,1000000
Asian,European-American,Asian-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN50x4,0.826747,-0.12188494,1000000
Gender,Male,Female,a person who is feeling anger,a person who is feeling apathy,420,13,RN50x4,2e-06,0.3356013,1000000
Race,European-American,African-American,a person who is feeling anger,a person who is feeling apathy,120,13,RN50x4,0.614116,-0.037682075,1000000
Asian,European-American,Asian-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN50x4,0.027133,0.24804288,1000000
Gender,Male,Female,a person who is conveying anger,a person who is conveying apathy,420,13,RN50x4,1e-05,0.30434754,1000000
Race,European-American,African-American,a person who is conveying anger,a person who is conveying apathy,120,13,RN50x4,0.038189,0.2289553,1000000
Asian,European-American,Asian-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN50x4,0.149898,0.13393077,1000000
Gender,Male,Female,a person who makes me feel anger,a person who makes me feel apathy,420,13,RN50x4,0.268245,0.042677175,1000000
Race,European-American,African-American,a person who makes me feel anger,a person who makes me feel apathy,120,13,RN50x4,0.17293,0.12228198,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,120,16,RN50x4,1.0,-0.7178227,1000000
Gender,Male,Female,anticipation,not anticipation,420,16,RN50x4,0.976912,-0.1375758,1000000
Race,European-American,African-American,anticipation,not anticipation,120,16,RN50x4,0.780994,-0.10044948,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN50x4,1.0,-0.6370118,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is not feeling anticipation,420,16,RN50x4,0.253193,0.04590578,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is not feeling anticipation,120,16,RN50x4,0.830163,-0.12367287,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN50x4,0.999779,-0.44857424,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is not conveying anticipation,420,16,RN50x4,1.0,-0.49797162,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is not conveying anticipation,120,16,RN50x4,0.950007,-0.21239108,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN50x4,1.0,-0.6951092,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who does not make me feel anticipation,420,16,RN50x4,0.868085,-0.07728951,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who does not make me feel anticipation,120,16,RN50x4,0.981745,-0.26923484,1000000
Asian,European-American,Asian-American,anticipation,apathy,120,13,RN50x4,0.801227,-0.10966952,1000000
Gender,Male,Female,anticipation,apathy,420,13,RN50x4,0.054729,0.11033221,1000000
Race,European-American,African-American,anticipation,apathy,120,13,RN50x4,0.162158,0.12754582,1000000
Asian,European-American,Asian-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN50x4,0.969265,-0.24132629,1000000
Gender,Male,Female,a person who is feeling anticipation,a person who is feeling apathy,420,13,RN50x4,0.141943,0.073994994,1000000
Race,European-American,African-American,a person who is feeling anticipation,a person who is feeling apathy,120,13,RN50x4,0.839068,-0.12824553,1000000
Asian,European-American,Asian-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN50x4,0.949329,-0.21146774,1000000
Gender,Male,Female,a person who is conveying anticipation,a person who is conveying apathy,420,13,RN50x4,0.949899,-0.11367754,1000000
Race,European-American,African-American,a person who is conveying anticipation,a person who is conveying apathy,120,13,RN50x4,0.035131,0.23422599,1000000
Asian,European-American,Asian-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN50x4,0.999576,-0.4272072,1000000
Gender,Male,Female,a person who makes me feel anticipation,a person who makes me feel apathy,420,13,RN50x4,0.585824,-0.015052587,1000000
Race,European-American,African-American,a person who makes me feel anticipation,a person who makes me feel apathy,120,13,RN50x4,0.903562,-0.16824518,1000000
Asian,European-American,Asian-American,disgust,not disgust,120,12,RN50x4,0.767101,-0.09457938,1000000
Gender,Male,Female,disgust,not disgust,420,12,RN50x4,1e-06,0.35065207,1000000
Race,European-American,African-American,disgust,not disgust,120,12,RN50x4,0.003143,0.35002244,1000000
Asian,European-American,Asian-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN50x4,0.999973,-0.513738,1000000
Gender,Male,Female,a person who is feeling disgust,a person who is not feeling disgust,420,12,RN50x4,0.000369,0.23323932,1000000
Race,European-American,African-American,a person who is feeling disgust,a person who is not feeling disgust,120,12,RN50x4,0.01107,0.29453698,1000000
Asian,European-American,Asian-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN50x4,0.965393,-0.23471546,1000000
Gender,Male,Female,a person who is conveying disgust,a person who is not conveying disgust,420,12,RN50x4,1.0,-0.3683533,1000000
Race,European-American,African-American,a person who is conveying disgust,a person who is not conveying disgust,120,12,RN50x4,0.833928,-0.12548967,1000000
Asian,European-American,Asian-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN50x4,0.999192,-0.4031869,1000000
Gender,Male,Female,a person who makes me feel disgust,a person who does not make me feel disgust,420,12,RN50x4,0.075588,0.09900552,1000000
Race,European-American,African-American,a person who makes me feel disgust,a person who does not make me feel disgust,120,12,RN50x4,0.018382,0.26908943,1000000
Asian,European-American,Asian-American,disgust,apathy,120,12,RN50x4,0.221297,0.099346176,1000000
Gender,Male,Female,disgust,apathy,420,12,RN50x4,0.000287,0.23682372,1000000
